,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"110-00 Rockaway Blvd, Jamaica, NY 11420, USA",(888) 888-8801,40.6728572,-73.832624,Resorts World Casino New York City,ChIJIdDbQENnwokRbCypkvjzglk,3.7
1,"810 Yonkers Ave, Yonkers, NY 10704, USA",(914) 968-4200,40.91930149999999,-73.8645107,Empire City Casino,ChIJh7tBHr7ywokR4hFTwLzlguk,3.9
2,"110-00 Rockaway Blvd, South Ozone Park, NY 11420, USA",(718) 215-3388,40.672473,-73.83285099999999,紐約市雲頂世界賭場,ChIJtzOQqGdnwokRpO7AXGJCjnc,3.4
3,"109 N Central Ave, Valley Stream, NY 11580, USA",(516) 887-0100,40.6705843,-73.708237,Ace & Jack Casino Theme Night Party Rentals NY NJ CT PA,ChIJd_ukxHtkwokRRhu0GlALOgY,4.9
4,"1 E 28th St, 6th floor, New York, NY 10016, USA",(212) 254-3325,40.74464239999999,-73.9868048,Big Deal Casino,ChIJ36JPOKZZwokRtqFVlZpq8k4,3.9
5,"1346 39th St, Brooklyn, NY 11218, USA",(718) 475-5601,40.639705000000006,-73.985322,Online Casino New York,ChIJwVXsWDxbwokR5Ygbs0GgVNI,5.0
6,"110-00 Rockaway Blvd, South Richmond Hill, NY 11419, USA",(844) 697-2238,40.6715214,-73.83334119999999,NYRA Bets,ChIJAa8A9U9nwokRm219Af30J4A,4.2
7,"130 Jericho Turnpike, Floral Park, NY 11001, USA",(516) 334-4305,40.72782499999999,-73.706374,CAZZNY Events,ChIJe7tPPCMx6IkRWXNsVSqhJXg,5.0
8,"N Atlantic Ave, Ocean City, MD 21842, USA",,40.5602071,-73.99309199999999,New Yorc City Guggenheim Museum,ChIJkZ00vNdFwokR3rqZdENC9Z0,5.0
9,"102 Woodcleft Ave #2, Freeport, NY 11520, USA",(516) 546-0800,40.6371607,-73.5827822,Ace Deuce Casinos,ChIJWyAGC8B7wokRVnxMJBl9-qI,3.0
10,"2830 Pitkin Ave, Brooklyn, NY 11208, USA",,40.675759,-73.86769199999999,Carib-Inn Tennis Club & Casino,ChIJ0U2AQ75dwokRDYkz9MyoArc,1.0
11,"110-00 Rockaway Blvd, Ozone Park, NY 11416, USA",(888) 888-8801,40.6728147,-73.83243279999999,Equestris,ChIJy3d0-yNnwokRqjtXbx3Jtvs,
12,"137-15 171st St, Jamaica, NY 11434, USA",,40.672299,-73.769059,Cozy 1br mins from CASINO JFK & NYC,ChIJPXAb-rhmwokRA8gRTeZqgWU,1.0
13,"8 Carriage Way, White Plains, NY 10605, USA",(914) 946-6050,40.996666,-73.736071,1800 Casinos LLC,ChIJBUJLolKRwokRCIrIkXtAmAU,
14,"366 N Broadway, Jericho, NY 11753, USA",(516) 942-4911,40.7818145,-73.5329445,Palm Casino's USA,ChIJed2A-haBwokRV7ehRoS-3SQ,2.3
